compound_id,smiles_raw,provenance_file,provenance_sheet,provenance_row,flag_asterisk,flag_smiles_o3_changed
Example 49,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C2/N=C(C2=C(C#N)N=CC=C2)\N=C/3)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,53,False,
Example 50,COC1=C(C2=N/C3=C(C=NN3CC3=CC=C(N4N=C(C(F)F)C=C4C)C=C3)/C=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,54,False,
Example 51,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,55,False,
Example 52,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=C(OC)N=C(C4=C(OC)N=CN=C4C4CC4)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,56,False,
Example 53,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C(C)/N=C(C4=C(OC)N=CN=C4C4CC4)\N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,57,True,True
Example 54,CCN1C=C(CF)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OCCF)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,58,False,
Example 55,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)F)=NN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,59,False,
Example 56,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=NN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,60,False,
Example 57,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=NN5C)C(F)=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,61,False,
Example 58,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=NN5C(C)C)C=C4)C3=N2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,62,False,
Example 59,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC(C)(C)C)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,63,False,
Example 60,COC1=NC(C2=CC=C(CN3N=CC4=C3/N=C(C3=C(OC)N=CN=C3C3CC3)\N=C/4)C=C2)=NN1C,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,64,False,
Example 61,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(OC(F)F)N=CN=C4C4CC4)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,65,False,
Example 62,CC(C)N1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(OC(F)F)N=CN=C4C4CC4)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,66,False,
Example 63,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC5CC5)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,67,False,
Example 64,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC5CCC5)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,68,False,
Example 65,COC1=CC(CF)=NN1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(OC)N=CN=C4C)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,69,False,
Example 66,COC1=CC(CF)=NN1C1=CC=C(C(C)N2/N=C\C3=CN=C(C4=C(OC)N=CN=C4C)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,70,False,
Example 67,C([2H])([2H])[2H]OC1N=CN=C(C=1C1=NC=C2C(N(CC3C=CC(C4=NC(CF)=CN4CC)=CC=3)N=C2)=N1)C1CC1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,71,True,
Example 68,CCN1C=C(CF)N=C1C1=CC=C(CN2N=CC3=C/N=C(C4=C(C5CC5)C=NN4CC)\N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,72,False,
Example 69,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(N5N=C(C#N)C=C5C)C=C4)C3=N2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,73,False,
Example 70,COC1=CC(C#N)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,74,False,
Example 71,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C#N)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,75,False,
Example 72,COC1=C(C2=NC3=C(C=N2)/C=N\N3CC2=CC=C(C3=NC(C#N)=CN3C(C)C)C=C2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,76,False,
Example 73,COC1=C(C2=NC3=C(C=N2)/C=N\N3CC2=CC=C(C3=NC([N+](=O)[O-])=CN3C(C)C)C=C2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,77,False,
Example 74,COC1=CN(C(C)C)C(C2=CC=C(CN3/N=C\C4=C3N=C(C3=C(OC)N=CN=C3C3CC3)N=C4)C=C2)=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,78,False,
Example 75,CCN1C=C(C(F)(F)F)N=C1C1=NC=C(CN2N=CC3=C2/N=C(C2=C(OC)N=CN=C2C2CC2)\N=C/3)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,79,False,
Example 76,CCOC1=CC(CF)=NN1C1=CC=C(CN2N=CC3=C2/N=C(C2=C(OC)N=CN=C2C2CC2)\N=C/3)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,80,False,
Example 77,COCCOC1=CC(CF)=NN1C1=CC=C(CN2N=CC3=C2/N=C(C2=C(OC)N=CN=C2C2CC2)\N=C/3)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,81,False,
Example 78,COC1=C(C2=N/C3=C(C=NN3CC3=CC=C(N4N=C(CF)C=C4OCCO)C=C3)/C=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,82,False,
Example 79,COC1=CC(CF)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,83,False,
Example 80,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)N(C2CC2)N=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,84,False,
Example 81,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(CF)=CN5C)C=C4)C3=N2)N(C2CC2)N=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,85,False,
Example 82,CCN1C=C(CF)N=C1C1=CC=C(CN2N=CC3=C/N=C(C4=C(OC)C=NN4C4CC4)\N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,86,False,
Example 83,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(CF)=CN5C(C)C)C=C4)C3=N2)N(C2CC2)N=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,87,False,
Example 84,CCN1C=C(CF)N=C1C1=CC=C(CN2N=CC3=C/N=C(C4=C(OC)C=NN4C4CCC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,88,False,
Example 85,COC1=C(C2=N/C3=C(C=NN3CC3=CC=C(C4=NN(C)C(CF)=N4)C=C3)/C=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,89,False,
Example 86,COC1=NC=NC(OC)=C1C1=NC=C2/C=N\N(CC3=CC=C(C4=NC(CF)=CN4C)C=C3)C2=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,90,True,True
Example 87,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(OC)N=CN=C4OC)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,91,False,
Example 88,CCN1C=C(C(F)(F)F)N=C1C1=CC=C([C@H](C)N2/N=C\C3=CN=C(C4=C(OC)N=CN=C4OC)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,92,False,
Example 89,CCN1C=C(C(F)(F)F)N=C1C1=CC=C([C@@H](C)N2/N=C\C3=CN=C(C4=C(OC)N=CN=C4OC)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,93,False,
Example 90,COC1=NC=NC(OC)=C1C1=N\C=C2\C=NN(CC3=CC=C(C4=NC(C(F)(F)F)=CN4C(C)C)C=C3)\C2=N\1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,94,False,
Example 91,CCOC1=NC=NC(OCC)=C1C1=N/C=C2/C=NN(CC3=CC=C(C4=NC(C(F)(F)F)=CN4CC)C=C3)/C2=N\1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,95,False,
Example 92,COC1=C(C2=N/C=C3\C=NN([C@@H](C)C4=CC=C(C5=NC(CF)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,96,False,
Example 93,COC1=C(C2=N/C=C3/C=NN([C@H](C)C4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,97,False,
Example 94,CCN1C=C(C(F)(F)F)N=C1C1=CC=C([C@H](C)N2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,98,False,
Example 95,CCN1C=C(CF)N=C1C1=CC=C([C@@H](C)N2/N=C\C3=CN=C(C4=C(OC)N=CN=C4C4CC4)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,99,False,
Example 96,CCN1C=C(C(F)(F)F)N=C1C1=CC=C([C@H](C)N2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1F,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,100,False,
Example 97,COC1=C(C2=N/C=C3\C=NN([C@@H](C)C4=CC=C(C5=NC(CF)=CN5C(C)C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,101,False,
Example 98,COC1=C(C2=N/C=C3\C=NN([C@H](C)C4=CC=C(C5=NC(CF)=CN5C(C)C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,102,False,
Example 99,CCN1C=C(CF)N=C1C1=CC=C([C@H](C)N2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CCC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,103,False,
Example 100,CCN1C=C(CF)N=C1C1=CC=C([C@@H](C)N2/N=C\C3=CN=C(C4=C(OC)N=CN=C4C4CCC4)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,104,False,
Example 101,CCN1C=C(CF)N=C1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(OC)N=CN=C4C4CN(C)C4)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,105,True,True
Example 102,CN1C=C(CF)N=C1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(OCC5=CC=CC=C5)N=CN=C4C4CC4)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,106,True,True
Example 103,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C/N=C(C4=C(OCC5=CC=CC=C5)N=CN=C4C4CC4)\N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,107,False,
Example 104,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2(C)CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,108,False,
Example 105,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)\C3=N\2)C(C2(C)CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,109,False,
Example 106,COC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4(C)CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,110,False,
Example 107,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C(C)C)C=C4)C3=N2)C(C2(C)CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,111,False,
Example 108,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C(C)C)C=C4)\C3=N\2)C(C2CC2(C)C)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,112,False,
Example 109,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C(C)(C)C)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,113,False,
Example 110,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C(C)(C)F)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,114,False,
Example 111,COC1=NC(OC)=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(CF)=CN5C)C=C4)C3=N2)C(C)=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,115,False,
Example 112,COC1=C(C2=N\C=C3\C=NN(CC4=CC=C(N5N=C(CF)C=C5C)C=C4)\C3=N\2)C(C2CC2)=NC(N)=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,116,False,
Example 113,CCOC1=NC=NC(OC)=C1C1=N\C=C2\C=NN(CC3=CC=C(C4=NC(C(F)(F)F)=CN4CC)C=C3)\C2=N\1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,117,False,
