sample_label,smiles_raw,usp1_ic50_grade,provenance_file,provenance_sheet,provenance_row
Compound Structure 76,COCCOC1=C(C2=N\C=C3\C=NN(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,80
Compound Structure 77,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C/N=C(C4=C(OC5CCOC5)N=CN=C4C4CC4)/N=C\32)C=C1,++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,81
Compound Structure 78,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OCC5=CC=CC=C5)N=CN=C4C4CC4)/N=C\32)C=C1,++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,82
Compound Structure 79,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)C3=N2)C(C)=NC=N1,++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,83
Compound Structure 80,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)F)=NN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,+,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,84
Compound Structure 81,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C/N=C(C4=C(OCC5=CC=CC=C5)N=CN=C4C4CC4)\N=C\32)C=C1,+,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,85
Compound Structure 82,COCCOC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,+,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,86
Compound Structure 83,COC1=NC=NC(C2CC2)=C1C1=NC2=C(C=N1)/C=N\N2CC1=CC=C(C2=NN(C)C(OC)=N2)C=C1,+,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,87
Compound Structure 84,COCCOC1=C(C2=NC=C3/C=N\N(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)C3=N2)C(C)=NC=N1,+,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,88
Compound Structure 85,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5CC(=O)N(C)C)C=C4)C3=N2)C(C2CC2)=NC=N1,+,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,89
Compound Structure 86,CN(C)C1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,+,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,90
Compound Structure 87,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NN(C)C(C(F)F)=N5)C=C4)C3=N2)C(C2CC2)=NC=N1,+,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,91
Compound Structure 88,COC1=NC(OC)=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C)=N1,+,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,92
Compound Structure 89,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(N5CCCC5)N=CN=C4C4CC4)/N=C\32)C=C1,+,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,93
Compound Structure 90,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(N(C)C)N=CN=C4C)/N=C\32)C=C1,+,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,94
Compound Structure 91,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C/N=C(C4=C(N5CCC5)N=CN=C4C4CC4)\N=C\32)C=C1,+,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,95
Compound Structure 92,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(C#N)N=CC=C4)/N=C\32)C=C1,+,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,96
Compound Structure 93,COC1=C(C2=NC=C3/N=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C2CC2)=NC=N1,nan,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,97
nan,nan,nan,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,98
,SMILES,USP1 IC_50,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,99
Compound Structure 94,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=C(S(C)(=O)=O)C3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,nan,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,100
Compound Structure 95,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C(/SC)C3=CN=C(C4=C(OC)N=CN=C4C4CC4)N=C32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,101
Compound Structure 96,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=C(SCC3=CC=C(OC)C=C3)C3=C/N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,102
Compound Structure 97,COC1=NN([C@@H](C)C2=CC=C(C3=NC(C(F)(F)F)=C(Br)N3C)C=C2)/C2=N\C(C3=C(OC)N=CN=C3C3CC3)=N/C=C\12,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,103
Compound Structure 98,[H]C1=CC2=C\N=C(C3=C(OC)N=CN=C3C3CC3)/N=C\2N1CC1=CC=C(C2=NC(C(F)(F)F)=CN2C(C)C)C=C1,++++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,104
Compound Structure 99,COCC1=NC2=C/N=C(C3=C(OC)N=CN=C3C3CC3)\N=C\2N1CC1=CC=C(C2=NC(C(F)(F)F)=CN2C(C)C)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,105
Compound Structure 100,COC1=C(C2=NC=C3N=C(C(C)C)N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C(C)C)C=C4)C3=N2)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,106
Compound Structure 101,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C(/OC3CCC3)C3=CN=C(C4=C(OC)N=CN=C4C4CC4)N=C32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,107
Compound Structure 102,COC1=C(C2=NC=C3C(=N2)N(CC2=CC=C(C4=CN(C(C)C)C(C(F)(F)F)=N4)C=C2)/N=C\3OC)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,108
Compound Structure 103,CCC1=NC2=C\N=C(C3=C(OC)N=CN=C3C3CC3)/N=C\2N1CC1=CC=C(C2=NC(C(F)(F)F)=CN2C(C)C)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,109
Compound Structure 104,COC1=C(C2=NC=C3C(=N2)N([C@@H](C)C2=CC=C(C4=NC(C(F)(F)F)=CN4CCF)C=C2)/N=C\3OC)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,110
Compound Structure 105,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C(/N3CCC3)C3=CN=C(C4=C(OC)N=CN=C4C4CC4)N=C32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,111
Compound Structure 106,CCN1C(C2=CC=C(CN3/N=C(/OC)C4=CN=C(C5=C(OC)N=CN=C5C5CC5)N=C43)C=C2)=NC(C(F)(F)F)=C1Br,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,112
Compound Structure 107,COC1=C(C2=NC=C3C(=N2)N(C(C)C2=CC=C(C4=NC(C(F)(F)F)=CN4CCF)C=C2)/N=C\3OC)C(C2CC2)=NC=N1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,113
Compound Structure 108,CCN1C=C(C(F)(F)F)N=C1C1=CC=C([C@H](C)N2/N=C(/OC)C3=CN=C(C4=C(OC)N=CN=C4C4CC4)N=C32)C=C1,+++,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,114
