Compound # (화합물 번호),Structure (구조) - SMILES,Unnamed_2,IUPAC (formatted),for reference --> (before cleansed),tabular IUPAC (unformatted),Unnamed_6
36.0,CC(=O)/C1=C(\S(C)=O)N(S(=O)(=O)C(F)(F)F)C2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-(methylsulfinyl)-1-((trifluoromethyl)sulfonyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-(methylsulfinyl)-1- ((trifluoromethyl)sulfonyl)quinolin-4(1H)-one,
37.0,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1S(=O)(=O)C1=CC=C(Cl)C=C1,,3-acetyl-8-bromo-5-chloro-1-((4-chlorophenyl)sulfonyl)-2-(methylthio)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-1-((4- chlorophenyl)sulfonyl)-2-(methylthio)quinolin- 4(1H)-one,
38.0,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1S(=O)(=O)C1=CC=C(N(O)=O)C=C1,,3-acetyl-8-bromo-5-chloro-2-(methylthio)-1-((4-nitrophenyl)sulfonyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-(methylthio)-1-((4- nitrophenyl)sulfonyl)quinolin-4(1H)-one,
39.0,CCS(=O)(=O)N1C2=C(Br)C=CC(Cl)=C2C(=O)/C(C(C)=O)=C\1S(C)=O,,3-acetyl-8-bromo-5-chloro-1-(ethylsulfonyl)-2-(methylsulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-1-(ethylsulfonyl)-2- (methylsulfinyl)quinolin-4(1H)-one,
40.0,CS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1S(=O)(=O)C1=CC=C(C(C)(C)C)C=C1,,3-acetyl-8-bromo-1-((4-(tert-butyl)phenyl)sulfonyl)-5-chloro-2-(methylthio)quinolin-4(1H)-one,,,
41.0,CC(=O)/C1=C(\S(C)(=O)=O)N(S(=O)(=O)C2=CC=C(C(C)(C)C)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-1-((4-(tert-butyl)phenyl)sulfonyl)-5-chloro-2-(methylsulfonyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-1-((4-(tert- butyl)phenyl)sulfonyl)-5-chloro-2- (methylsulfonyl)quinolin-4(1H)-one,
42.0,CC(=O)/C1=C(\S(C)=O)N(S(=O)(=O)C2=CC=C(C(C)(C)C)C=C2)C2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-1-((4-(tert-butyl)phenyl)sulfonyl)-5-chloro-2-(methylsulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-1-((4-(tert- butyl)phenyl)sulfonyl)-5-chloro-2- (methylsulfinyl)quinolin-4(1H)-one,
43.0,CC(=O)/C1=C(\SCC2=CC(Cl)=CC=C2Cl)NC2=C(Br)C=CC(Cl)=C2C1=O,,"3-acetyl-8-bromo-5-chloro-2-((2,5-dichlorobenzyl)thio)quinolin-4(1H)-one",,"3-acetyl-8-bromo-5-chloro-2-((2,5- dichlorobenzyl)thio)quinolin-4(1H)-one",
44.0,CC(=O)/C1=C(\S(=O)CC2=CC(Cl)=CC=C2Cl)NC2=C(Br)C=CC(Cl)=C2C1=O,,"3-acetyl-8-bromo-5-chloro-2-((2,5-dichlorobenzyl)sulfinyl)quinolin-4(1H)-one",,"3-acetyl-8-bromo-5-chloro-2-((2,5- dichlorobenzyl)sulfinyl)quinolin-4(1H)-one",
45.0,CC(=O)/C1=C(\SCC2=CC(F)=CC(F)=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,"3-acetyl-8-bromo-5-chloro-2-((3,5-difluorobenzyl)thio)quinolin-4(1H)-one",,"3-acetyl-8-bromo-5-chloro-2-((3,5- difluorobenzyl)thio)quinolin-4(1H)-one",
