compound_key,smiles_canonical,has_structure,iupac_name,inchikey14
BPERTUQZSTXAPI-GFCCVEGCSA-N,C[C@H](c1ncccn1)N(Cc1ccc(Br)nn1)C(=O)c1ccc2nc(N)c(Br)cc2c1,True,(R) -2-amino-3 -bromo-N-((6-bromopy ridazin- 3-yl)methyl)-N-(l-(pyrimidin-2- yl)ethyl)quinoline-6-carboxamide,BPERTUQZSTXAPI
BTHXAKBMGXZRRY-MRXNPFEDSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)[C@H](C)c3ccc(F)cc3)ccc2nc1N,True,2 -amino -N-(( 1R) -1 - (4 -fluor opheny l)ethy 1)-3- methyl-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,BTHXAKBMGXZRRY
BVKONFCKGFMQNN-HXUWFJFHSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)nn3)[C@@H]3CCc4cccnc43)ccc2nc1N,True,"2-amino-N-((7R)-6,7-dihydro-5H- cyclopenta[b]pyridin-7-yl)-3-methyl-N-((6- (trifluoromethyl)-3-pyridazinyl)methyl)-6- quinolinecarboxamide",BVKONFCKGFMQNN
BWCSWVPPFONQIU-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3cncc(F)c3)Cc3ccccc3F)ccc2nc1N,True,2-amino-N-(2 -fluorobenzy 1)-N-((5 -fluoropy ridin-3 -y l)methy 1) -3 -methylquinoline-6-carboxamide,BWCSWVPPFONQIU
BYIYBXKHNAHRRH-UYAOXDASSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)[C@@H]3CCOC[C@H]3F)ccc2nc1N,True,"2-amino-N-((3R,4S)-3-fluorotetrahydro-2H- pyran-4-yl)-3-methyl-N-((5-(trifluoromethyl)- 2-pyridinyl)methyl)-6- quinolinecarboxamide and 2-amino-N- ((3S,4R)-3-fluorotetrahydro-2H-pyran-4-yl)- 3-methyl-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide",BYIYBXKHNAHRRH
BYIYBXKHNAHRRH-UYAOXDASSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)[C@@H]3CCOC[C@H]3F)ccc2nc1N,True,"2-amino-N-((3S,4R)-3- fluorotetrahydro-2H- pyran-4-y 1)-3 -methy 1- N-((5- (trifluoromethy 1) -2- pyridinyl)methyl)-6- quinolinecarboxamide",BYIYBXKHNAHRRH
CBFZPXQJPFAARG-CYBMUJFWSA-N,C[C@H](c1ncccc1F)N(Cc1ccc(C#N)cn1)C(=O)c1cnc2nc(N)c(Br)cc2c1,True,"7-amino-6-bromo-N-((5-cyano-2- py ridiny l)methy 1) -N-(( 1R) -1-(3 -fluoro -2 - pyridinyl)ethyl)-l,8-naphthyridine-3- carboxamide",CBFZPXQJPFAARG
CBLSECDBLSLTGO-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)Cc3ncc(F)cn3)ccc2nc1N,True,2 -amino -N-((5 -fluoro -2 -py rimidiny l)methy 1) - 3 -methy l-N-((5 -(trifluoromethy 1)-2- pyridinyl)methyl)-6-quinolinecarboxamide,CBLSECDBLSLTGO
CECCBMUNCUBWHC-NRFANRHFSA-N,N#CC[C@@H](C1CC1)N(Cc1ccc(C#N)cn1)C(=O)c1ccc2nc(N)c(Br)cc2c1,True,(S)-2-amino-3-bromo- N-(2-cyano-l- cyclopropylethyl)-N- ((5 -cy anopyridin-2- yl)methyl)quinoline-6- carboxamide,CECCBMUNCUBWHC
CEDUEMYRCBAPNM-OAHLLOKOSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C#N)cn3)[C@H](C)c3ncccc3F)c(F)cc2nc1N,True,2-amino-N-((5-cyano-2-pyridinyl)methy 1)-7- fluoro-N-((lR)-l-(3-fluoro-2-pyridinyl)ethyl)- 3 -methy 1-6-quinolinecarboxamide,CEDUEMYRCBAPNM
CFSRIHNPIOFDDS-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)C3CCc4[nH]cnc4C3)ccc2nc1N,True,"2-amino-3-methyl-N-(4,5,6,7- tetrahydro-lH-benzimidazol-5-yl)-N- [ [ 5 -(trifluoromethyl) -2- pyridyl]methyl] quinoline-6- carboxamide",CFSRIHNPIOFDDS
CFWXSGORTHRYME-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3cccnc3)Cc3ccc(C(F)(F)F)cn3)ccc2nc1N,True,2-amino-3 -methy l-N-(3 -pyridinylmethy 1)-N - ((5-(trifluoromethyl)-2-pyridinyl)methyl)-6- quinolinecarboxamide,CFWXSGORTHRYME
CILMVBJHUWYVOS-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)CC(C)C#N)ccc2nc1N,True,2-amino-N-(2-cyanopropyl)-3- methyl-N-[ [5-(trifluoromethy 1)-2- pyridyl]methyl] quinoline-6- carboxamide,CILMVBJHUWYVOS
CLECUEUQDJKSIJ-CQSZACIVSA-N,C[C@H](c1ncccn1)N(Cc1ccc(OC2COC2)cn1)C(=O)c1cnc2nc(N)c(Br)cc2c1,True,"7-amino-6-bromo-N-((5-(3-oxetanyloxy)-2- pyridiny l)methy 1) -N-(( 1R) -1 -(2- pyrimidiny l)ethy 1)-1,8-naphthyridine-3 - carboxamide",CLECUEUQDJKSIJ
CNLPUOAHFNWBJD-OAQYLSRUSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)nn3)[C@@H](c3ncccn3)C3CC3)ccc2nc1N,True,2-amino-N-((R)-cyclopropyl(2- pyrimidiny l)methy 1)-3 -methyl- N-((6-(trifluoromethy 1)-3- pyridazinyl)methyl)-6- quinolinecarboxamide,CNLPUOAHFNWBJD
COSIGNDDPWBYFM-UHFFFAOYSA-N,CC1COCCC1N(Cc1ccc(C(F)(F)F)cn1)C(=O)c1ccc2nc(N)c(Br)cc2c1,True,2-amino-3 -bromo-N-(3- methyltetrahydro-2H-pyran-4-yl)-N- ((5 -(trifluoromethyl)pyridin-2- y l)methy 1) quinoline -6-carboxamide,COSIGNDDPWBYFM
CSGBHAZUAYOHGC-HPRDVNIFSA-N,[2H]C([2H])([2H])c1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)CC(C)C)ccc2nc1N,True,2-amino-N-isobutyl-3-(methyl-d3)-N-((5- (trifluoromcthyl)pyridin-2- yl)methyl)quinoline-6-carboxamide,CSGBHAZUAYOHGC
CTDIMSIVGLRHRB-UHFFFAOYSA-N,C#CC(C)N(Cc1ccc(C(F)(F)F)cn1)C(=O)c1ccc2nc(N)c(C)cc2c1,True,2-amino-3-methy 1-N-(1 -methy Iprop- 2-yny 1) -N- [ [5 -(trifluoromethyl) -2- pyridyl]methyl] quinoline-6- carboxamide,CTDIMSIVGLRHRB
CUSYPVNCPYUQPT-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3ccc[nH]3)Cc3ccnc4[nH]ccc34)ccc2nc1N,True,"2-amino-3 -methy 1-N-(1H- pyrrolo[2,3-b]pyridin-4-ylmethyl)-N- (lH-pyrrol-2-ylmethyl)quinoline-6- carboxamide",CUSYPVNCPYUQPT
CXARGGCICUABSX-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)C3CC3(C)C)ccc2nc1N,True,"2-amino-N-(2,2- dimethylcyclopropyl)-3-methyl-N- [ [ 5 -(trifluoromethyl) -2- pyridyl]methyl] quinoline-6- carboxamide",CXARGGCICUABSX
CZSXGYAGGDUIRP-MRXNPFEDSA-N,C[C@H](c1ncccn1)N(Cc1ccc(C2=CCOCC2)nn1)C(=O)c1ccc2nc(N)c(Cl)cc2c1,True,"2-amino-3-chloro-N-((6-(3,6-dihydro-2H- pyran-4-y 1) -3 -pyridaziny l)methy 1) -N-((1R)-1- (2-pyrimidinyl)ethyl)-6-quinolinecarboxamide",CZSXGYAGGDUIRP
CZVLPMDTXLXSPD-HXUWFJFHSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)[C@@H]3CCOc4ccc(F)nc43)ccc2nc1N,True,"2-amino-N-((4R)-6- fluoro-3,4-dihydro-2H- py rano [3,2-b] py ridin-4- y 1)-3 -methy 1-N-((5- (trifluoromethy 1) -2- pyridinyl)methyl)-6- quinolinecarboxamide",CZVLPMDTXLXSPD
CZYJANAVBQULTH-HXUWFJFHSA-N,CC(=O)Nc1nc2ccc(C(=O)N(Cc3ccc(C4=CCNCC4)cn3)[C@H](C)c3ncccn3)cc2cc1C,True,"(R)-2-acetamido-3-methyl-N-(l-(pyrimidin-2-yl)ethyl)-N-((r,2',3',6'- tetrahydro-[3,4'-bipyridin]-6-yl)methyl)quinoline-6-carboxamide trihydrochloride",CZYJANAVBQULTH
DADLSMKTMGLXOY-CQSZACIVSA-N,Cc1cc2cc(C(=O)N(Cc3ncccc3Cl)[C@H](C)c3ncccn3)c(F)cc2nc1N,True,2-amino-N-((3 -chloro- 2-pyridinyl)methy 1)-7- fluoro -3 -methy 1-N - ((lR)-l-(2- pyrimidinyl)ethy 1)-6- quinolinecarboxamide,DADLSMKTMGLXOY
DCFUKNXZVALAGZ-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)CC(C)C3CC3)ccc2nc1N,True,2-amino-N-(2- cyclopropylpropyl)-3-methyl-N- ((5-(trifluoromethyl)pyridin-2- yl)methyl)quinoline-6- carboxamide,DCFUKNXZVALAGZ
DCRKINIPGKOUKK-LJQANCHMSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)[C@@H]3CCCNC3=O)ccc2nc1N,True,2-am ino-3 -methy 1-N- ((3R)-2-oxo-3- piperidinyl)-N-((5- (trifluoromethy 1) -2- pyridinyl)methyl)-6- quinolinecarboxamide,DCRKINIPGKOUKK
DDDZBCQQEFBNIR-UHFFFAOYSA-N,Cc1cc2cc(C(=O)N(Cc3ccc(C(F)(F)F)cn3)Cc3ncc(Cl)cc3F)ccc2nc1N,True,2-amino-N-((5-chloro-3-fluoro-2- pyridiny l)methy 1) -3 -methy 1-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide,DDDZBCQQEFBNIR
