compound_key,compound_id,iupac_name,mw,lcms_text,nmr_1h_text,flag_asterisk,flag_imaging_conflict,flag_smiles_o3_changed,year,provenance_file,provenance_sheet,provenance_row
AVDZOAKOBSZUNW-RTBURBONSA-N,Example 367,"2-amino-N-((lR,2R)-2-hydroxycyclopentyl)- N-((6 -methoxy pyridazin-3 -y l)methy 1)-3- methylquinoline-6-carboxamide",,408.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,69
AVXLYKLPBGZPCH-CYBMUJFWSA-N,Example 544,(R)-2-amino-3-iodo-N-(l-(pyrimidin-2-yl)ethyl)-N-((5- (trifluoromethyl)pyridin-2-yl)methyl)quinoline-6-carboxamide,,578.9,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,341
AWMYUEQLMFZHJG-CYBMUJFWSA-N,Example 745,(R) -2-amino-3 -bromo-N-((4-chloro-5 - cyanopyridin-2-yl)methyl)-N-(l-(pyrimidin-2- yl)ethyl)quinoline-6-carboxamide,,522,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,162
BADXAESYBUHPQZ-QZTJIDSGSA-N,Example 366,"2-amino-N-((6-bromo-3-pyridazinyl)methyl)- N-((1R, 2R)-2 -hydroxy cyclopenty l)-3-methyl- 6-quinolinecarboxamide",,456/458,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,68
BAEUPDLQCHIXQC-CYBMUJFWSA-N,Example 433,2 -amino -4 -chloro -N-(( 1R) -1-(2 - pyrimidinyl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,,487.3,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,135
BBGUOWHRNUUUKV-UHFFFAOYSA-N,Example 306,"2-amino-3-methyl-N-((l-methyl-lH-l,2,4- triazol-3-yl)methyl)-N-((5-(trifluoromethyl)- 2-pyridinyl)methyl)-6-quinolinecarboxamide",,456.1,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,8
BBJIJKUJVOAYBL-UHFFFAOYSA-N,Example 646,2-amino-3-methyl-N-[(4-pyrrolidin-l- y Ipheny l)methy 1] -N-[ [5 -(trifluorome thy 1)-2-pyridyl]methyl] quinoline-6-carboxamide,,520.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,462
BBSZZJLVZSGIER-UHFFFAOYSA-N,Example 596,2-amino-3-methyl-N-((3- methyltetrahydro-2H-pyran-4- yl)methyl)-N-((5- (trifluoromethyl)pyridin-2- y l)methy 1) quinoline -6 - carboxamide,,473.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,410
BBWYAUPUPLMIOS-MRXNPFEDSA-N,Example 465,2-amino-N-((5 -bromo-6-methyl-2-pyridinyl)methyl)-3-methyl-N-((lR)-l-(2-pyrimidinyl)ethy 1)-6-quinolinecarboxamide,,491.1/493.1,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,214
BCJQJDQJTMOYAG-OAHLLOKOSA-N,Example 482,2-am ino-3 -methy 1-N- ((lR)-l-(2- pyrazinyl)ethyl)-N-((5- (trifluoromethy 1) -2-pyridinyl)methyl)-6- quinolinecarboxamide,,467.1,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,231
BDVQCNJHIZCJKY-CQSZACIVSA-N,Example 532,"2-amino-N-((5 -(difluoromethyl) - 2-pyridinyl)methyl)-3-methyl-N- ((lR)-l-(l-methyl-lH-l,2,4- triazol-3 -yl)ethy 1)-6- quinolinecarboxamide",,452,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,317
BFWPWGWPCDHZJR-CQSZACIVSA-N,Example 762,(R)-2-amino-3-bromo-N-((6- cyclopropylpyridazin-3-yl)methyl)-N-(l- (pyrimidin-2-yl)ethyl)quinoline-6- carboxamide,,504/506,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,179
BLQHXMUPWCKWAT-UHFFFAOYSA-N,Example 620,"2-amino-3 -methy 1-N-((2-oxo-2,3 -dihydrobenzo [d]oxazol-6-yl)methyl)-N-((5-(trifluoromethyl)pyridin-2-yl)methyl)quinoline-6-carboxamide",,508.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,435
BPERTUQZSTXAPI-GFCCVEGCSA-N,Example 740,(R) -2-amino-3 -bromo-N-((6-bromopy ridazin- 3-yl)methyl)-N-(l-(pyrimidin-2- yl)ethyl)quinoline-6-carboxamide,,544,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,157
BTHXAKBMGXZRRY-MRXNPFEDSA-N,Example 360,2 -amino -N-(( 1R) -1 - (4 -fluor opheny l)ethy 1)-3- methyl-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide,,483.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,62
BVKONFCKGFMQNN-HXUWFJFHSA-N,Example 395,"2-amino-N-((7R)-6,7-dihydro-5H- cyclopenta[b]pyridin-7-yl)-3-methyl-N-((6- (trifluoromethyl)-3-pyridazinyl)methyl)-6- quinolinecarboxamide",,479,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,97
BWCSWVPPFONQIU-UHFFFAOYSA-N,Example 590,2-amino-N-(2 -fluorobenzy 1)-N-((5 -fluoropy ridin-3 -y l)methy 1) -3 -methylquinoline-6-carboxamide,,419.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,404
BYIYBXKHNAHRRH-UYAOXDASSA-N,Example 747,"2-amino-N-((3R,4S)-3-fluorotetrahydro-2H- pyran-4-yl)-3-methyl-N-((5-(trifluoromethyl)- 2-pyridinyl)methyl)-6- quinolinecarboxamide and 2-amino-N- ((3S,4R)-3-fluorotetrahydro-2H-pyran-4-yl)- 3-methyl-N-((5-(trifluoromethyl)-2- pyridinyl)methyl)-6-quinolinecarboxamide",,505.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,164
