ex_no,ki_a_nM,ki_b_nM,ic50_null_uM,ic50_wt_uM,provenance_file,provenance_sheet,provenance_row
394,0.12,nan,0.384,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,97
395,0.16,nan,0.082,2.37,data/bronze/artifacts/2021_raw.xlsx,Table 19,98
396,0.27,nan,0.793,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,99
397,0.23,nan,0.286,7.96,data/bronze/artifacts/2021_raw.xlsx,Table 19,100
398,0.58,nan,0.247,4.78,data/bronze/artifacts/2021_raw.xlsx,Table 19,101
399,<0.1,nan,0.036,0.872,data/bronze/artifacts/2021_raw.xlsx,Table 19,102
400,0.05,nan,0.041,0.96,data/bronze/artifacts/2021_raw.xlsx,Table 19,103
401,0.08,nan,0.051,1.57,data/bronze/artifacts/2021_raw.xlsx,Table 19,104
402,0.04,nan,0.015,0.526,data/bronze/artifacts/2021_raw.xlsx,Table 19,105
403,0.55,nan,0.263,8.88,data/bronze/artifacts/2021_raw.xlsx,Table 19,106
404,1.68,nan,0.09,3.16,data/bronze/artifacts/2021_raw.xlsx,Table 19,107
405,0.03,nan,0.054,1.035,data/bronze/artifacts/2021_raw.xlsx,Table 19,108
406,0.47,nan,0.682,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,109
407,0.11,nan,0.291,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,110
408,0.13,nan,0.597,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,111
409,0.24,nan,0.692,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,112
410,0.04,nan,0.088,5.39,data/bronze/artifacts/2021_raw.xlsx,Table 19,113
411,0.22,nan,0.182,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,114
412,0.18,nan,0.123,4.05,data/bronze/artifacts/2021_raw.xlsx,Table 19,115
413,0.65,nan,0.655,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,116
414,0.3,nan,0.234,5.18,data/bronze/artifacts/2021_raw.xlsx,Table 19,117
415,0.54,nan,0.039,0.49,data/bronze/artifacts/2021_raw.xlsx,Table 19,118
416,0.17,nan,0.262,6.65,data/bronze/artifacts/2021_raw.xlsx,Table 19,119
417,0.33,nan,0.151,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,120
418,0.27,nan,0.5,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,121
419,0.16,nan,0.271,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,122
420,0.18,nan,0.225,3.45,data/bronze/artifacts/2021_raw.xlsx,Table 19,123
421,0.54,nan,0.056,1.13,data/bronze/artifacts/2021_raw.xlsx,Table 19,124
422,0.2,nan,0.36,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,125
423,0.07,nan,0.054,1.83,data/bronze/artifacts/2021_raw.xlsx,Table 19,126
424,0.61,nan,0.319,9.08,data/bronze/artifacts/2021_raw.xlsx,Table 19,127
425,0.68,nan,0.38,2.17,data/bronze/artifacts/2021_raw.xlsx,Table 19,128
426,0.47,nan,0.964,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,129
427,0.1,nan,0.151,4.25,data/bronze/artifacts/2021_raw.xlsx,Table 19,130
