sample_label,smiles_raw,provenance_file,provenance_sheet,provenance_row,variable,value
Compound Structure 127,CC(C)C1=C(C2=N/C=C3/N=CN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,133,usp1_ic50_grade,+++
Compound Structure 13,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C#N)=CC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,15,usp1_ic50_grade,+++
Compound Structure 14,CC(C)C1=C(C2=NC=C3N=CN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,16,usp1_ic50_grade,+++
Compound Structure 15,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,17,usp1_ic50_grade,+++
Compound Structure 16,CC(C)C1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C=CC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,18,usp1_ic50_grade,+++
Compound Structure 17,CSC1=C(C2=NC3=C(C=N2)/C=N\N3CC2=CC=C(C3=NC(C(F)(F)F)=CN3C)C=C2)C(C)=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,19,usp1_ic50_grade,+++
Compound Structure 18,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,20,usp1_ic50_grade,++++
Compound Structure 19,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,21,usp1_ic50_grade,++++
Compound Structure 2,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C2/N=C(C2=C(S(C)(=O)=O)C=CC=C2)\N=C/3)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,4,usp1_ic50_grade,++
Compound Structure 20,CC(C)C1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C5CN(C)C5)C=C4)C3=N2)C=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,22,usp1_ic50_grade,++++
Compound Structure 21,CC(C)C1=C(C2=NC=C3/C=N\N(C(C)C4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,23,usp1_ic50_grade,++++
