compound_id,smiles_raw,dataset_id,provenance_file,provenance_sheet,provenance_row
58,CC(=O)/C1=C(\S(=O)CC2=C(C#N)C=CC=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,58
59,COC1=CC(CS(=O)/C2=C(\C(C)=O)C(=O)C3=C(Cl)C=CC(Br)=C3N2)=CC(OC)=C1,2017,raw/2017_1020170094694_raw.xlsx,표3,59
60,CC(=O)/C1=C(\S(=O)CC2=CC=C(C(C)(C)C)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,60
61,COCS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1,2017,raw/2017_1020170094694_raw.xlsx,표3,61
62,CC(=O)/C1=C(\S)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,62
63,CC(=O)/C1=C(\S(=O)CC2=CC=C(C(=O)C3=CC=CC=C3)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,63
64,CC(=O)/C1=C(\S(=O)CC2=CC=C(S(=O)C(F)(F)F)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,64
65,CC(=O)/C1=C(\S(=O)CC#N)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,65
66,CC(=O)/C1=C(\SCC#N)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,66
67,CC(=O)/C1=C(\S/C=C\C(=O)O)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,67
68,O=C1C(=C(S(=O)CC2=CC=C(C=C2)[S](F)(F)(F)(F)F)NC2C1=C(Cl)C=CC=2Br)C(=O)C,2017,raw/2017_1020170094694_raw.xlsx,표3,68
69,O=C(C)C1=C(S(=O)CC2=CC=C(C=C2F)[S](F)(F)(F)(F)F)NC2C(=C(Cl)C=CC=2Br)C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,69
70,CC(=O)/C1=C(\S(=O)CC2=CC=C(C(F)(F)F)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,70
71,CC(=O)/C1=C(\S(=O)CC2=CC=C(OC(F)(F)F)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,71
72,CC(=O)/C1=C(\S(=O)CC2=CC=C(C(F)(F)F)O2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,72
73,CC(=O)/C1=C(\S(=O)CC2=CC=C(C#N)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,73
74,CC(=O)/C1=C(\S(=O)CC2=C(F)C=CC=C2Cl)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,74
75,O=S(C1=C(C(=O)C2C(=C(Br)C=CC=2Cl)N1)C(=O)C)CC1=CC=C(C=C1OC)[S](F)(F)(F)(F)F,2017,raw/2017_1020170094694_raw.xlsx,표3,75
76,ClC1=CC(Br)=C2C(=C1)C(=O)C(=C(S(=O)CC3=CC(F)=CC(=C3)[S](F)(F)(F)(F)F)N2)C(=O)C,2017,raw/2017_1020170094694_raw.xlsx,표3,76
77,ClC1=CC(Br)=C2C(=C1)C(=O)C(=C(S(=O)CC3=CC(F)=CC(=C3)[S](F)(F)(F)(F)F)N2)C(=O)C,2017,raw/2017_1020170094694_raw.xlsx,표3,77
78,CC(=O)/C1=C(\S(=O)CC2=C(F)C(F)=C(F)C(F)=C2F)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,78
79,O=S(C1=C(C(=O)C)C(=O)C2C(=C(Cl)C=CC=2Cl)N1)CC1=CC=C(C=C1)SC(F)(F)F,2017,raw/2017_1020170094694_raw.xlsx,표3,79
80,O=C1C2C(=C(F)C=CC=2F)NC(=C1C(=O)C)S(=O)CC1=CC=C(C=C1)[S](F)(F)(F)(F)F,2017,raw/2017_1020170094694_raw.xlsx,표3,80
81,CC(=O)/C1=C(\S(=O)CC2=CC=C(C(F)(F)F)O2)NC2=C(F)C=CC(F)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,81
82,CC(=O)/C1=C(\S(=O)CC2=NOC(C)=C2)NC2=C(F)C=CC(F)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,82
83,CC(=O)/C1=C(\S(=O)CC2=CC=C(I)C=C2)NC2=C(Cl)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,83
84,CC(=O)/C1=C(\S(=O)CC2=CC=CN=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,84
85,O=C(C(C)C)C1=C(S(=O)CC2=CC=C(C=C2)SC(F)(F)(F))NC3C(=C(F)C=CC=3F)C1=O,2017,raw/2017_1020170094694_raw.xlsx,표3,85
86,CC1=CC(CS(=O)/C2=C(\C(=O)C(C)C)C(=O)C3=C(Cl)C=CC(Cl)=C3N2)=NO1,2017,raw/2017_1020170094694_raw.xlsx,표3,86
