ex_no,provenance_file,provenance_sheet,provenance_row,variable,value
338,data/bronze/artifacts/2021_raw.xlsx,Table 19,41,ic50_wt_uM,>10
339,data/bronze/artifacts/2021_raw.xlsx,Table 19,42,ki_a_nM,nan
339,data/bronze/artifacts/2021_raw.xlsx,Table 19,42,ki_b_nM,nan
339,data/bronze/artifacts/2021_raw.xlsx,Table 19,42,ic50_null_uM,0.405
339,data/bronze/artifacts/2021_raw.xlsx,Table 19,42,ic50_wt_uM,>10
340,data/bronze/artifacts/2021_raw.xlsx,Table 19,43,ki_a_nM,1.39
340,data/bronze/artifacts/2021_raw.xlsx,Table 19,43,ki_b_nM,nan
340,data/bronze/artifacts/2021_raw.xlsx,Table 19,43,ic50_null_uM,0.505
340,data/bronze/artifacts/2021_raw.xlsx,Table 19,43,ic50_wt_uM,>10
341,data/bronze/artifacts/2021_raw.xlsx,Table 19,44,ki_a_nM,0.52
341,data/bronze/artifacts/2021_raw.xlsx,Table 19,44,ki_b_nM,nan
341,data/bronze/artifacts/2021_raw.xlsx,Table 19,44,ic50_null_uM,0.437
341,data/bronze/artifacts/2021_raw.xlsx,Table 19,44,ic50_wt_uM,>10
342,data/bronze/artifacts/2021_raw.xlsx,Table 19,45,ki_a_nM,2.72
342,data/bronze/artifacts/2021_raw.xlsx,Table 19,45,ki_b_nM,nan
342,data/bronze/artifacts/2021_raw.xlsx,Table 19,45,ic50_null_uM,0.73
342,data/bronze/artifacts/2021_raw.xlsx,Table 19,45,ic50_wt_uM,>10
343,data/bronze/artifacts/2021_raw.xlsx,Table 19,46,ki_a_nM,0.66
343,data/bronze/artifacts/2021_raw.xlsx,Table 19,46,ki_b_nM,nan
343,data/bronze/artifacts/2021_raw.xlsx,Table 19,46,ic50_null_uM,0.104
343,data/bronze/artifacts/2021_raw.xlsx,Table 19,46,ic50_wt_uM,2.83
344,data/bronze/artifacts/2021_raw.xlsx,Table 19,47,ki_a_nM,0.1
344,data/bronze/artifacts/2021_raw.xlsx,Table 19,47,ki_b_nM,nan
344,data/bronze/artifacts/2021_raw.xlsx,Table 19,47,ic50_null_uM,0.073
344,data/bronze/artifacts/2021_raw.xlsx,Table 19,47,ic50_wt_uM,1.8
345,data/bronze/artifacts/2021_raw.xlsx,Table 19,48,ki_a_nM,0.18
345,data/bronze/artifacts/2021_raw.xlsx,Table 19,48,ki_b_nM,nan
345,data/bronze/artifacts/2021_raw.xlsx,Table 19,48,ic50_null_uM,0.123
345,data/bronze/artifacts/2021_raw.xlsx,Table 19,48,ic50_wt_uM,4.05
346,data/bronze/artifacts/2021_raw.xlsx,Table 19,49,ki_a_nM,0.04
346,data/bronze/artifacts/2021_raw.xlsx,Table 19,49,ki_b_nM,nan
346,data/bronze/artifacts/2021_raw.xlsx,Table 19,49,ic50_null_uM,0.081
346,data/bronze/artifacts/2021_raw.xlsx,Table 19,49,ic50_wt_uM,1.58
347,data/bronze/artifacts/2021_raw.xlsx,Table 19,50,ki_a_nM,0.17
347,data/bronze/artifacts/2021_raw.xlsx,Table 19,50,ki_b_nM,nan
347,data/bronze/artifacts/2021_raw.xlsx,Table 19,50,ic50_null_uM,0.168
347,data/bronze/artifacts/2021_raw.xlsx,Table 19,50,ic50_wt_uM,6.2
348,data/bronze/artifacts/2021_raw.xlsx,Table 19,51,ki_a_nM,0.73
348,data/bronze/artifacts/2021_raw.xlsx,Table 19,51,ki_b_nM,nan
348,data/bronze/artifacts/2021_raw.xlsx,Table 19,51,ic50_null_uM,0.413
348,data/bronze/artifacts/2021_raw.xlsx,Table 19,51,ic50_wt_uM,>10
349,data/bronze/artifacts/2021_raw.xlsx,Table 19,52,ki_a_nM,0.02
349,data/bronze/artifacts/2021_raw.xlsx,Table 19,52,ki_b_nM,nan
349,data/bronze/artifacts/2021_raw.xlsx,Table 19,52,ic50_null_uM,0.036
349,data/bronze/artifacts/2021_raw.xlsx,Table 19,52,ic50_wt_uM,0.848
350,data/bronze/artifacts/2021_raw.xlsx,Table 19,53,ki_a_nM,0.56
350,data/bronze/artifacts/2021_raw.xlsx,Table 19,53,ki_b_nM,nan
350,data/bronze/artifacts/2021_raw.xlsx,Table 19,53,ic50_null_uM,0.397
350,data/bronze/artifacts/2021_raw.xlsx,Table 19,53,ic50_wt_uM,>10
351,data/bronze/artifacts/2021_raw.xlsx,Table 19,54,ki_a_nM,1.29
